Index,CrashID,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Injury_Status,Cause
100,902864175,F,45-54Years,97,1/20/2017,FRIDAY,JAN,9:00,AM,0,1,39.70334741,-86.1080803,1,45,Fatal,"DRIVERDISTRACTED,EXPLAININNARRATIVE"
101,902885597,M,>=85Years,97,3/7/2017,TUESDAY,MAR,6:22,PM,1,1,39.759808,-86.226416,1,30,Fatal,FAILURETOYIELDRIGHTOFWAY
102,902916091,F,75-84Years,97,4/28/2017,FRIDAY,APR,7:38,PM,1,1,39.853536,-85.991376,3,35,Fatal,FAILURETOYIELDRIGHTOFWAY
103,903015439,F,5-14Years,97,10/13/2017,FRIDAY,OCT,12:15,PM,0,1,39.90467691,-86.06961735,1,55,Fatal,UNSAFESPEED
104,902877863,M,65-74Years,97,2/13/2017,MONDAY,FEB,2:25,AM,0,1,39.92397885,-86.20774815,1,55,Fatal,UNSAFESPEED
105,902977424,F,25-34Years,97,8/5/2017,SATURDAY,AUG,5:28,AM,0,2,39.70176013,-86.16331781,1,55,Fatal,RANOFFROAD
106,902950375,F,35-44Years,97,6/19/2017,MONDAY,JUN,10:12,AM,4,1,39.71618178,-86.05332995,1,55,Fatal,TIREFAILUREORDEFECTIVE
107,902964730,M,35-44Years,97,7/18/2017,TUESDAY,JUL,7:20,PM,0,1,39.845584,-86.256208,1,35,Fatal,FAILURETOYIELDRIGHTOFWAY
108,902888887,M,55-64Years,97,3/13/2017,MONDAY,MAR,5:17,PM,0,1,39.826,-86.016464,4,35,Fatal,FAILURETOYIELDRIGHTOFWAY
109,903045763,F,45-54Years,97,11/24/2017,FRIDAY,NOV,7:06,PM,3,1,39.6523293,-86.15844052,1,45,Fatal,FAILURETOYIELDRIGHTOFWAY
110,903015267,M,65-74Years,97,10/7/2017,SATURDAY,OCT,5:17,PM,4,2,39.721072,-86.038688,2,40,Fatal,FAILURETOYIELDRIGHTOFWAY
111,903015267,F,65-74Years,97,10/7/2017,SATURDAY,OCT,5:17,PM,4,2,39.721072,-86.038688,2,40,Fatal,FAILURETOYIELDRIGHTOFWAY
112,902856002,F,25-34Years,97,1/7/2017,SATURDAY,JAN,11:55,PM,0,1,39.78584,-86.168512,2,30,Fatal,nan
113,903015266,F,25-34Years,97,9/28/2017,THURSDAY,SEP,2:30,PM,0,1,39.67180343,-86.14247771,1,10,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
114,902852562,F,55-64Years,97,1/4/2017,WEDNESDAY,JAN,6:46,PM,0,1,39.727056,-86.049312,2,40,Fatal,DISREGARDSIGNAL/REGSIGN
115,902912231,F,15-24Years,97,4/22/2017,SATURDAY,APR,11:59,PM,2,1,39.81624,-86.255792,1,35,Fatal,UNSAFESPEED
116,902954056,M,25-34Years,57,7/1/2017,SATURDAY,JUL,10:09,PM,0,1,40.14603573,-86.22325634,1,45,Fatal,HEADLIGHTDEFECTIVEORNOTON
117,902907210,M,15-24Years,97,4/15/2017,SATURDAY,APR,11:24,PM,3,1,39.777264,-86.110736,1,30,Fatal,FAILURETOYIELDRIGHTOFWAY
118,902868031,M,35-44Years,97,2/2/2017,THURSDAY,FEB,12:42,PM,2,1,39.840336,-86.071984,1,35,Fatal,RANOFFROAD
119,902953508,M,15-24Years,97,6/23/2017,FRIDAY,JUN,3:02,PM,1,1,39.663552,-86.196352,2,35,Fatal,DISREGARDSIGNAL/REGSIGN
120,902893417,M,45-54Years,97,3/17/2017,FRIDAY,MAR,12:52,PM,1,1,39.76386944,-86.30727253,1,45,Fatal,FOLLOWINGTOOCLOSELY
121,902951083,F,45-54Years,97,6/24/2017,SATURDAY,JUN,10:25,PM,0,1,39.659689,-86.08093128,1,65,Fatal,RANOFFROAD
122,903056600,M,15-24Years,97,12/9/2017,SATURDAY,DEC,4:47,AM,0,1,39.72631013,-86.04685355,1,55,Fatal,UNSAFELANEMOVEMENT
123,902974734,M,35-44Years,97,8/7/2017,MONDAY,AUG,3:20,PM,0,1,39.75787281,-86.02912989,1,55,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
124,903062619,M,25-34Years,97,12/19/2017,TUESDAY,DEC,1:10,PM,0,1,39.82726358,-86.27563878,1,55,Fatal,UNSAFELANEMOVEMENT
125,903065964,M,35-44Years,97,12/21/2017,THURSDAY,DEC,1:47,AM,0,1,39.69842419,-86.13944022,1,55,Fatal,RANOFFROAD
126,902977424,M,15-24Years,97,8/5/2017,SATURDAY,AUG,5:28,AM,0,2,39.70176013,-86.16331781,1,55,Fatal,RANOFFROAD
127,902972896,M,35-44Years,97,7/31/2017,MONDAY,JUL,5:21,AM,0,1,39.90281969,-86.0667194,1,55,Fatal,UNSAFELANEMOVEMENT
128,902921533,F,15-24Years,97,4/18/2017,TUESDAY,APR,9:18,PM,3,2,39.75602631,-86.19187087,1,50,Fatal,UNSAFESPEED
129,902946877,M,35-44Years,97,6/14/2017,WEDNESDAY,JUN,11:27,AM,0,1,39.794048,-86.08328,1,35,Fatal,DRIVERILLNESS
130,902925030,M,45-54Years,97,5/13/2017,SATURDAY,MAY,2:45,AM,0,1,39.810832,-86.08883607,1,35,Fatal,IMPROPERLANEUSAGE
131,902896431,M,65-74Years,97,3/24/2017,FRIDAY,MAR,3:17,PM,3,1,39.8101,-86.16732,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
132,902975334,M,55-64Years,97,8/5/2017,SATURDAY,AUG,1:40,PM,0,1,39.81045817,-86.13833251,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
133,902999829,M,45-54Years,97,9/16/2017,SATURDAY,SEP,1:29,PM,0,1,39.81104648,-86.02901435,1,35,Fatal,RANOFFROAD
134,902939285,M,15-24Years,97,5/31/2017,WEDNESDAY,MAY,4:40,PM,0,1,39.911344,-86.226896,1,40,Fatal,UNSAFESPEED
135,903053957,M,35-44Years,97,11/30/2017,THURSDAY,NOV,6:35,AM,0,2,39.84678496,-85.99143149,1,35,Fatal,RANOFFROAD
136,903022034,M,15-24Years,97,10/16/2017,MONDAY,OCT,4:54,PM,0,1,39.69327107,-86.14871847,1,40,Fatal,RANOFFROAD
137,902884820,F,15-24Years,97,3/6/2017,MONDAY,MAR,7:10,AM,0,1,39.73204007,-86.20193398,2,45,Fatal,OVERCORRECTING/OVERSTEERING
138,903007389,M,55-64Years,57,10/1/2017,SUNDAY,OCT,8:23,PM,1,1,40.077808,-86.090304,1,55,Fatal,FAILURETOYIELDRIGHTOFWAY
