Index,CrashID,Role,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
30,903278171,Driver,F,65-74Years,97,12/4/2018,TUESDAY,DEC,12:30,PM,1,1,39.736768,-86.196208,1,45,Multi-LaneDivided3ormore(TwoWay),BELMONTSTKENTUCKYAVE,Fatal,DISREGARDSIGNAL/REGSIGN
31,903286119,Injured,M,15-24Years,97,12/9/2018,SUNDAY,DEC,5:01,PM,3,1,39.853136,-86.239696,1,40,Multi-LaneDivided3ormore(TwoWay),56THSTGEORGETOWNRD,Fatal,OVERCORRECTING/OVERSTEERING
32,903184016,Driver,F,65-74Years,97,7/3/2018,TUESDAY,JUL,2:34,PM,0,1,39.764608,-86.260096,1,35,Multi-LaneDivided3ormore(TwoWay),MICKLEYAVEROCKVILLERD,Fatal,FOLLOWINGTOOCLOSELY
33,903173972,Injured,M,1-4Years,97,6/22/2018,FRIDAY,JUN,7:31,PM,1,1,39.76844986,-86.30806509,2,35,TwoLanes(TwoWay),COUNTRYCLUBRDMEGANWOODDR,Fatal,RANOFFROAD
34,903094402,Driver,M,25-34Years,97,2/4/2018,SUNDAY,FEB,2:56,AM,2,2,39.84024,-86.03288,1,45,TwoLanes(TwoWay),E46THSTPAYTONAVE,Fatal,UNSAFESPEED
35,903223708,Injured,F,>=85Years,97,9/14/2018,FRIDAY,SEP,11:49,AM,2,1,39.68132585,-86.26170115,1,35,TwoLanes(TwoWay),FURNASRD,Fatal,RANOFFROAD
36,903175664,Injured,F,35-44Years,97,6/24/2018,SUNDAY,JUN,8:11,PM,1,1,39.812448,-86.219984,1,35,TwoLanes(TwoWay),32NDSTGUIONRD,Fatal,RANOFFROAD
37,903260254,Injured,F,75-84Years,57,11/12/2018,MONDAY,NOV,10:41,AM,0,2,39.94711179,-86.18408926,2,40,TwoLanes(TwoWay),DITCHRDPRESTONTRL,Fatal,RANOFFROAD
38,903137052,Injured,M,25-34Years,97,4/4/2018,WEDNESDAY,APR,7:14,PM,5,1,39.757855,-86.063755,1,35,Multi-LaneUndivided(TwoWay),ARLINGTONAVEBROOKVILLERD,Fatal,UNSAFESPEED
39,903123266,Driver,M,25-34Years,97,3/26/2018,MONDAY,MAR,10:47,AM,0,1,39.85008,-86.161584,2,30,TwoLanes(TwoWay),54THSTCAPITOLAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
40,903235421,Injured,M,55-64Years,57,10/3/2018,WEDNESDAY,OCT,1:57,PM,0,1,40.00157653,-85.9363936,1,15,PrivateDrive,E146THST,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
